,Order Id,Column,Timestamp,Size,Price,Fees,Side
69,69,CANBK.NS,2017-10-05,16.0,61.63999938964844,0.0,Buy
70,70,ASHOKLEY.NS,2017-10-05,16.0,61.75,0.0,Buy
71,71,MMTC.NS,2017-10-05,26.0,38.03333282470703,0.0,Buy
72,72,CENTRALBK.NS,2017-10-05,13.0,76.19999694824219,0.0,Buy
73,73,HFCL.NS,2017-10-05,39.0,25.399999618530273,0.0,Buy
74,74,ANANTRAJ.NS,2017-10-05,44.0,22.548967361450195,0.0,Buy
75,75,JUBLFOOD.NS,2017-10-05,7.0,141.89999389648438,0.0,Buy
76,76,BEL.NS,2017-10-05,18.0,55.20000076293945,0.0,Buy
77,77,RENUKA.NS,2017-10-05,72.0,13.800000190734863,0.0,Buy
78,78,RTNINDIA.NS,2017-10-05,163.0,6.099999904632568,0.0,Buy
79,79,TTML.NS,2017-10-05,169.0,5.884643077850342,0.0,Buy
80,80,BSOFT.NS,2017-10-05,13.0,76.52288818359375,0.0,Buy
81,81,TARIL.NS,2017-10-05,63.0,15.800000190734863,0.0,Buy
82,82,REDINGTON.NS,2017-10-05,13.0,76.6500015258789,0.0,Buy
83,83,IDBI.NS,2017-10-05,19.0,52.45000076293945,0.0,Buy
84,84,ACE.NS,2017-10-05,15.0,66.44999694824219,0.0,Buy
85,85,JYOTHYLAB.NS,2017-10-05,5.0,199.3999938964844,0.0,Buy
86,86,ALOKINDS.NS,2017-10-05,322.0,3.0999999046325684,0.0,Buy
87,87,TRIDENT.NS,2017-10-05,100.0,9.989999771118164,0.0,Buy
88,88,JWL.NS,2017-10-05,84.0,11.899999618530272,0.0,Buy
89,89,ACE.NS,2017-11-15,15.0,115.4000015258789,0.0,Sell
90,90,ZENTEC.NS,2017-11-15,20.0,85.5,0.0,Sell
91,91,SAREGAMA.NS,2017-11-15,20.0,81.89654541015625,0.0,Sell
92,92,RTNINDIA.NS,2017-11-15,163.0,9.199999809265137,0.0,Sell
93,93,GPIL.NS,2017-11-15,35.0,41.25,0.0,Sell
94,94,SAIL.NS,2017-11-15,18.0,79.69999694824219,0.0,Sell
95,95,MMTC.NS,2017-11-15,26.0,52.36666488647461,0.0,Sell
96,96,BSOFT.NS,2017-11-15,13.0,100.7043685913086,0.0,Sell
97,97,PNB.NS,2017-11-15,7.0,184.8999938964844,0.0,Sell
98,98,ALOKINDS.NS,2017-11-15,322.0,4.0,0.0,Sell
99,99,SONATSOFTW.NS,2017-11-15,17.0,72.0,0.0,Sell
100,100,CANBK.NS,2017-11-15,16.0,75.95999908447266,0.0,Sell
101,101,PRAJIND.NS,2017-11-15,15.0,79.8499984741211,0.0,Sell
102,102,REDINGTON.NS,2017-11-15,13.0,91.75,0.0,Sell
103,103,JUBLFOOD.NS,2017-11-15,7.0,169.0,0.0,Sell
104,104,ASTRAZEN.NS,2017-11-15,1.0,1161.3499755859375,0.0,Sell
105,105,TTML.NS,2017-11-15,169.0,6.7936530113220215,0.0,Sell
106,106,MINDACORP.NS,2017-11-15,7.0,163.6999969482422,0.0,Sell
107,107,IDBI.NS,2017-11-15,19.0,60.0,0.0,Sell
108,108,CARBORUNIV.NS,2017-11-15,3.0,375.0,0.0,Sell
109,109,UBL.NS,2017-11-15,1.0,1120.0,0.0,Sell
110,110,RENUKA.NS,2017-11-15,72.0,15.5,0.0,Sell
111,111,HFCL.NS,2017-11-15,39.0,28.149999618530273,0.0,Sell
