,rolling_period,mean_period,rolling_threshold,Total Return [%],Max Drawdown [%],Sharpe Ratio
0,12,12,0,29.626599298197288,34.13408427550098,0.3951977277568969
1,12,16,0,219.3073287520404,30.094814611204658,1.5250095529113563
2,12,20,0,200.1459093543064,37.80337324164112,1.5152211448331907
3,12,24,0,218.62898993573486,61.03348238098606,0.9190960726454895
4,12,28,0,322.34661791923526,33.068449611803196,1.9388426677272854
5,12,32,0,297.6976109643962,33.777379783769874,1.8497981738935088
6,12,36,0,265.37100695428194,39.04333944685569,1.5575023071996716
7,12,40,0,196.0653379605516,38.92125131600302,1.3277581740041835
8,12,44,0,260.16160346226206,22.689394728224176,1.7857732070309338
9,12,48,0,249.43518772372312,57.14840174153571,1.0882677475527098
10,12,52,0,378.6540157348758,21.84201989887441,2.0844111807947083
11,12,56,0,281.7435750874031,30.551446676638793,1.7728384285065486
12,12,60,0,241.43103066471684,36.96702363598429,1.6062387364759585
13,12,64,0,404.53021448822665,24.580454694829445,2.0530553298107135
14,16,12,0,203.93567441864667,37.267469060139845,1.5559826436766637
15,16,16,0,255.03291767765512,37.11148441643511,1.5877834019906654
16,16,20,0,201.69774063557617,37.13766497222319,1.4552513936184386
17,16,24,0,250.79666425977229,34.14175892621357,1.6754012650974222
18,16,28,0,335.3360445256087,28.420718632038145,1.8988549409299647
19,16,32,0,219.9831586154545,34.99946223101658,1.4369118412626685
20,16,36,0,264.21035392927183,35.28740225480524,1.6831657770361343
21,16,40,0,234.89264463597667,31.168159843917405,1.59843993295266
22,16,44,0,175.10985758825416,24.08503242358316,1.4141526629698875
23,16,48,0,300.4408074805256,28.98282774170937,1.7003099912524389
24,16,52,0,307.7825089127969,27.474642651578346,1.8733220913054458
25,16,56,0,241.08397062240385,37.4717512205605,1.584462689741327
26,16,60,0,240.1904561738754,33.67899480144037,1.5812471033391062
27,16,64,0,332.66835583964587,33.16878478595664,1.8652012801039088
28,20,12,0,310.14855780652965,34.28071188714565,1.9368845851511918
29,20,16,0,257.696358195064,38.489811628253015,1.5722900741524934
30,20,20,0,223.16316746952816,36.47645189481381,1.4559516123888248
31,20,24,0,170.7177027552878,40.58943987488264,1.2838524016155008
32,20,28,0,262.95721256384417,28.520440841472194,1.7022367926368536
33,20,32,0,249.09505827267236,35.113893322652295,1.6423363100815496
34,20,36,0,208.30828995249,29.44938858053394,1.4353859957499289
35,20,40,0,326.7398799823404,23.675575468255165,1.8831063774806167
36,20,44,0,170.91696233333926,21.359140022910697,1.4010063436989773
37,20,48,0,202.6380323713214,25.581361362092746,1.4719966607187402
38,20,52,0,288.8278369000356,29.9501998330646,1.7372008131846643
39,20,56,0,231.77827741333553,42.58231455629963,1.524668976073944
40,20,60,0,225.14839908197555,43.84070605904382,1.1931224877533604
41,20,64,0,229.73352191817312,39.773688098425666,1.4819788578199602
42,24,12,0,389.5544863700519,31.37372015323157,1.9395019066104924
43,24,16,0,310.56480144425444,39.893067854538465,1.7341766368374392
44,24,20,0,162.34996688456206,39.651630546518426,1.1905576195047465
45,24,24,0,231.52353314659115,39.544193479829495,1.5269207851783873
46,24,28,0,243.28624354253517,32.307128265784414,1.560030482700356
47,24,32,0,305.99414709031856,32.077184998230415,1.797461571551311
48,24,36,0,226.37319150521967,31.683659408100688,1.5311249412391963
49,24,40,0,265.1817098968082,30.21841053054331,1.650546972099737
50,24,44,0,223.3961112639697,25.750472713775785,1.557098568288746
51,24,48,0,324.84117749963985,29.091244333158215,1.7343671984316582
52,24,52,0,273.5909878972993,35.41763052119705,1.6944396712995042
53,24,56,0,250.8750077594349,34.97819595177541,1.6191951442132688
54,24,60,0,261.8192518276086,34.10335859146637,1.7041862437390638
55,24,64,0,246.68460743790996,41.937989101032755,1.5595475382475883
56,28,12,0,330.8343350827748,36.60704674173722,1.7667534269465823
57,28,16,0,329.9771970989037,38.50568452432269,1.7884366922713124
58,28,20,0,193.5167031826179,39.03556583993173,1.3185440956647263
59,28,24,0,279.4457808352669,37.70983929511959,1.7105604073681826
60,28,28,0,295.83294861206684,32.399054507215716,1.812422528045479
61,28,32,0,238.9267763408633,37.01758249691168,1.4737984708322396
62,28,36,0,258.9263770218102,32.37421871733589,1.668556691315423
63,28,40,0,258.72811017363694,28.10703528773534,1.6587495207423337
64,28,44,0,202.7282981873568,31.364526533596404,1.4596161008003674
65,28,48,0,337.7232506323841,26.619203513426815,1.8629795201975194
66,28,52,0,366.3460794801625,35.04260833710602,1.9526474678274164
67,28,56,0,260.609431662244,41.235734226530724,1.6623165965922888
68,28,60,0,248.4499336617124,39.506353768938446,1.3003173398208507
69,28,64,0,186.01421519089223,41.91621061587282,1.3148333319869063
70,32,12,0,237.54941070553633,32.0569015413556,1.552859079946948
71,32,16,0,347.15341024267514,40.352993923652896,1.7872783064926256
72,32,20,0,242.02309955417866,36.93713905751878,1.4723218592062022
73,32,24,0,297.9507974302528,35.066959654741176,1.7890750894760763
74,32,28,0,284.6238131466068,33.743004254466236,1.7590153569158031
75,32,32,0,117.0887774650808,37.49790939640539,1.0008305744225034
76,32,36,0,212.31084383388315,33.53256336712047,1.4812714487743435
77,32,40,0,198.8840862597012,25.881878680240938,1.435722106422817
78,32,44,0,195.65361693983016,31.85305973918228,1.389828309294237
79,32,48,0,434.5023852007396,25.516306881876755,2.100849312050273
80,32,52,0,276.5742411819459,31.028184745453007,1.6709341417651766
81,32,56,0,351.620493912454,35.350905101381244,1.8985495192175774
82,32,60,0,231.8969169620929,35.40298464530644,1.4991062402280568
